Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,"1,087",10.2,9.3,11,850,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,No,"7,514",89.8,89,90.7,851,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,"1,961",21.3,20.1,22.5,942,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,"6,650",78.7,77.5,79.9,943,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,"1,528",12.9,12.1,13.8,"1,034",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",62,0.6,0.4,0.9,"1,035",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",157,1.5,1.2,1.9,"1,037",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"6,892",84.9,83.9,85.8,"1,036",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,328,3,2.6,3.4,988,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,"8,295",97,96.6,97.5,989,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,942,8,7.3,8.7,804,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,"7,681",92,91.3,92.7,805,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,"1,025",8.2,7.6,8.9,758,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,"7,595",91.8,91.1,92.4,759,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,785,12.5,11.4,13.6,"3,494",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"4,737",87.5,86.4,88.6,"3,495",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,400,7.7,6.7,8.7,"3,534",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"4,100",92.3,91.3,93.3,"3,535",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"4,019",67.6,65.9,69.3,"3,574",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,626",32.4,30.7,34.1,"3,575",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"3,046",64.6,62.7,66.6,"3,614",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,"1,404",35.4,33.4,37.3,"3,615",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,18-24 years,439,13,11.7,14.3,"1,349",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,25-34 years,759,16.5,15.2,17.8,"1,350",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,35-44 years,896,16,14.8,17.2,"1,351",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,45-54 years,"1,421",17.4,16.3,18.5,"1,352",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,55-64 years,"2,001",16.9,15.9,17.9,"1,353",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Age,What is your age?,65+ years,"3,136",20.2,19.3,21.1,"1,354",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,684,6.6,5.9,7.3,"2,380",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"7,745",93.4,92.7,94.1,"2,381",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,"1,429",16.4,15.3,17.5,"2,426",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"6,965",83.6,82.5,84.7,"2,427",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,"1,135",10.7,9.9,11.6,"2,564",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,No,"7,264",89.3,88.5,90.1,"2,565",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,575,5.5,4.9,6.1,"2,518",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,"7,836",94.5,93.9,95.1,"2,519",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,"2,322",20.6,19.5,21.7,"2,472",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,"6,080",79.4,78.3,80.5,"2,473",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"2,867",27.9,26.7,29.2,"2,288",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"5,561",72.1,70.8,73.4,"2,289",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,"1,422",12.3,11.4,13.1,"2,334",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,"7,030",87.7,86.9,88.6,"2,335",%,"(32.84057112200048, -86.63186076199969)"
AR,Arkansas,Demographics,Sex,Gender of respondent,Male,"1,904",48.5,46.4,50.7,"2,082",%,"(34.74865012400045, -92.27449074299966)"
AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,"1,063",17.4,16.1,18.7,"1,727",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"2,756",31,29.6,32.4,"1,728",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"2,470",31.2,29.8,32.6,"1,729",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,College+,"2,327",20.4,19.4,21.5,"1,730",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,No work< yr,173,3,2.3,3.6,"1,810",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,No work >yr,231,3.2,2.6,3.7,"1,809",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Student,173,4.3,3.5,5.1,"1,812",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Retired,"2,731",18.4,17.5,19.3,"1,813",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,"1,378",13.6,12.6,14.5,"1,814",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Employed,"2,840",43.6,42.1,45.1,"1,807",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Homemaker,596,7.5,6.7,8.3,"1,811",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Employment,What is your employment status?,Self-employed,473,6.5,5.7,7.3,"1,808",%,"(32.84057112200048, -86.63186076199969)"
AR,Arkansas,Demographics,Sex,Gender of respondent,Female,"3,354",51.5,49.3,53.6,"2,083",%,"(34.74865012400045, -92.27449074299966)"
AL,Alabama,Demographics,Income,What is your annual household income?,"Less than $15,000","1,162",14.8,13.6,16,"1,988",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Income,What is your annual household income?,"$15,000 - 24,999","1,451",20.2,18.8,21.5,"1,989",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",804,11.7,10.5,12.9,"1,990",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Income,What is your annual household income?,"$35,000 -  49,999","1,016",14.6,13.5,15.8,"1,991",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Income,What is your annual household income?,"$50,000+","2,464",38.8,37.1,40.4,"1,992",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,"5,756",75.6,74.4,76.8,"2,173",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,No,"2,771",24.4,23.2,25.6,"2,174",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,"4,275",51,49.5,52.5,"1,457",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Divorced,"1,304",12.1,11.2,13,"1,458",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Widowed,"1,457",8.6,8,9.2,"1,459",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Separated,277,3,2.5,3.6,"1,460",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Never married,"1,188",23,21.6,24.5,"1,461",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Marital Status,What is your marital status?,Partnered,109,2.2,1.7,2.8,"1,462",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,22,0.5,0.2,0.7,"1,598",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,102,1.7,1.3,2.1,"1,597",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,255,5,4.2,5.8,"1,596",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,681,12,10.9,13.1,"1,595",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,946,15.2,14,16.4,"1,594",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"6,614",65.7,64.1,67.2,"1,593",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Race,What is your race/ethnicity?,White,"6,026",68.2,66.7,69.7,"1,254",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Race,What is your race/ethnicity?,Black,"2,176",25.2,23.9,26.6,"1,255",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Race,What is your race/ethnicity?,MultiRacial,94,0.9,0.7,1.2,"1,258",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Race,What is your race/ethnicity?,Other,189,2.5,1.9,3.1,"1,257",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Race,What is your race/ethnicity?,Hispanic,77,3.2,2.3,4,"1,256",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Own,"6,259",72.3,70.9,73.7,"2,219",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,"1,602",19.4,18.2,20.6,"2,220",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Other,583,8.2,7.3,9.2,"2,221",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Sex,Gender of respondent,Male,"3,115",47.8,46.3,49.3,"2,083",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Sex,Gender of respondent,Female,"5,537",52.2,50.7,53.7,"2,084",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,"1,180",13.1,12.1,14.1,"2,127",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,"7,462",86.9,86,87.9,"2,128",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,"1,249",17.4,16.2,18.7,321,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"7,380",82.6,81.3,83.8,322,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"7,825",86.1,84.9,87.3,162,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,806,13.9,12.7,15.1,163,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"6,680",72.1,70.6,73.6,367,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,801,11.7,10.6,12.8,368,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,418,6.7,5.9,7.5,369,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,501,8.3,7.4,9.3,370,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,77,1.2,0.8,1.6,371,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","6,312",66.5,65,68,252,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,"1,047",10,9.2,10.9,253,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,"1,275",23.5,22,25,254,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,650",82.5,81.1,84,208,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,790,17.5,16,19,209,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"6,265",77.1,75.9,78.3,116,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"2,359",22.9,21.8,24.1,117,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Overall Health,How is your general health?,Excellent,"1,146",16.8,15.6,18.1,1,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Overall Health,How is your general health?,Very good,"2,227",27.9,26.5,29.3,2,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Overall Health,How is your general health?,Good,"2,892",32.4,31,33.8,3,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Overall Health,How is your general health?,Fair,"1,578",15.7,14.6,16.7,4,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Health Status,Overall Health,How is your general health?,Poor,781,7.3,6.6,7.9,5,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,Yes,"2,512",38.4,36.8,40,"3,654",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,No,"5,357",61.6,60,63.2,"3,655",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"1,942",64.2,61.9,66.4,"3,045",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,081",35.9,33.6,38.1,"3,046",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"1,972",67,64.7,69.3,"3,083",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,958,33,30.7,35.3,"3,084",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,Yes,"1,092",16.2,15.1,17.4,"3,121",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,No,"4,628",83.8,82.6,84.9,"3,122",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,73,3.4,2.4,4.4,"3,207",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"2,852",96.6,95.6,97.6,"3,208",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"7,446",87.2,86.1,88.3,"3,161",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,871,12.8,11.7,13.9,"3,162",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,624,22.2,20.2,24.2,"1,170",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"2,392",77.8,75.8,79.8,"1,171",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"5,143",60,58.5,61.5,"1,208",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"3,370",40,38.5,41.5,"1,209",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,276",52.7,51.2,54.3,"1,124",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"3,199",47.3,45.8,48.9,"1,125",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,814",33.5,32.1,35,"2,613",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"2,814",33.4,32,34.9,"2,612",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"2,425",31.5,29.9,33,"2,611",%,"(32.84057112200048, -86.63186076199969)"
